,logFC,AveExpr,t,P.Value,adj.P.Val,B
CLU,2.05206562234302,6.4391472511073,7.13896154423793,1.23490149423777e-08,2.57147401947353e-06,9.75035082448261
GRINA,1.64219586749733,8.05412837734262,7.13614178184556,1.24605021358542e-08,2.57886807009245e-06,9.74172373292914
AEBP1,-1.57213719707638,2.56079555282464,-7.13249421863855,1.26062235969531e-08,2.59321479592596e-06,9.73056309180726
ARL11,0.993927712919172,5.18967567348345,7.12227752385718,1.30235840761397e-08,2.66293066694178e-06,9.69929724231993
FAM102A,-1.45768470961571,6.78864230762913,-7.11574509087132,1.32977034089567e-08,2.68162457899895e-06,9.67930216352451
SCART1,-1.66385924225399,1.47614782812193,-7.11539321144721,1.33126330699377e-08,2.68162457899895e-06,9.67822500856164
KCNE1,1.32999196785588,2.85373365531278,7.11446659687761,1.33520285737677e-08,2.68162457899895e-06,9.67538846053852
FCER1G,1.86926469362846,8.46850176088107,7.1122262600739,1.3447763313733e-08,2.68496460232192e-06,9.66853009045801
MIR4537,-2.23458339462143,0.0215885857494355,-7.10812144262336,1.3624968408402e-08,2.70443671180105e-06,9.65596300343721
TMEM25,-1.02303930778332,2.10333271332494,-7.1046919275633,1.37748220888017e-08,2.71828494964015e-06,9.6454624357071
DNHD1,-0.842342568913938,4.33750102781021,-7.10273986478901,1.3860857944714e-08,2.7194522564132e-06,9.63948517988415
YIPF1,1.05175989247947,5.64344178868779,7.09858318420858,1.404586769792e-08,2.72345709178763e-06,9.62675641040528
LIG1,-0.692291207309159,4.61932409289143,-7.09744823003269,1.40968140895019e-08,2.72345709178763e-06,9.62328068459377
CLEC4E,1.55144284864279,6.10960286931036,7.09588181476974,1.41674338261576e-08,2.72345709178763e-06,9.61848348201867
AC009133.3,-1.08384335108603,2.52392877695926,-7.09511301027897,1.42022245373405e-08,2.72345709178763e-06,9.61612892544863
AL139424.2,1.54636686191518,0.505973388022181,7.08380462397493,1.47240135334784e-08,2.80086456051949e-06,9.58149066780431
KDF1,-1.03183989802419,-0.170050138890361,-7.08280777106201,1.47709255887393e-08,2.80086456051949e-06,9.57843680425889
